g_0,g_1,g_2,g_3,g_4,g_5,g_6,g_7,g_8,g_9,g_10,g_11,g_12,g_13,g_14,g_15,g_16,g_17,g_18,g_19,g_20,g_21,g_22,g_23,g_24,g_25,g_26,g_27,
1e+06,1e+06,1e+06,1e+06,1e+06,1e+06,1e+06,1e+06,1e+06,1e+06,1e+06,1e+06,1e+06,1e+06,1e+06,1e+06,1e+06,1e+06,1e+06,1e+06,1e+06,1e+06,1e+06,1e+06,1e+06,1e+06,1e+06,1e+06,
1e+06,1e+06,1e+06,1e+06,1e+06,1e+06,1e+06,1e+06,1e+06,1e+06,1e+06,1e+06,1e+06,1e+06,1e+06,1e+06,1e+06,1e+06,1e+06,1e+06,1e+06,1e+06,1e+06,1e+06,1e+06,1e+06,1e+06,1e+06,
685.505,1e+06,1e+06,1e+06,1e+06,1e+06,1e+06,1e+06,1e+06,1e+06,1e+06,1e+06,1e+06,1e+06,1e+06,1e+06,1e+06,1e+06,1e+06,1e+06,1e+06,1e+06,1e+06,1e+06,1e+06,1e+06,1e+06,1e+06,
684.21,1e+06,1e+06,1e+06,1e+06,1e+06,1e+06,1e+06,1e+06,1e+06,1e+06,1e+06,1e+06,1e+06,1e+06,1e+06,1e+06,1e+06,1e+06,1e+06,1e+06,1e+06,1e+06,1e+06,1e+06,1e+06,1e+06,1e+06,
1e+06,1e+06,1e+06,1e+06,1e+06,1e+06,1e+06,1e+06,1e+06,1e+06,1e+06,1e+06,1e+06,1e+06,1e+06,1e+06,1e+06,1e+06,1e+06,1e+06,1e+06,1e+06,1e+06,1e+06,1e+06,1e+06,1e+06,1e+06,
246.728,1e+06,1e+06,1e+06,1e+06,1e+06,1e+06,1e+06,1e+06,1e+06,1e+06,1e+06,1e+06,1e+06,1e+06,1e+06,1e+06,1e+06,1e+06,1e+06,1e+06,1e+06,1e+06,1e+06,1e+06,1e+06,1e+06,1e+06,
1e+06,1e+06,1e+06,1e+06,1e+06,1e+06,1e+06,1e+06,1e+06,1e+06,1e+06,1e+06,1e+06,1e+06,1e+06,1e+06,1e+06,1e+06,1e+06,1e+06,1e+06,1e+06,1e+06,1e+06,1e+06,1e+06,1e+06,1e+06,
1e+06,1e+06,1e+06,1e+06,1e+06,1e+06,1e+06,1e+06,1e+06,1e+06,1e+06,1e+06,1e+06,1e+06,1e+06,1e+06,1e+06,1e+06,1e+06,1e+06,1e+06,1e+06,1e+06,1e+06,1e+06,1e+06,1e+06,1e+06,
683.771,1e+06,1e+06,1e+06,1e+06,1e+06,1e+06,1e+06,1e+06,1e+06,1e+06,1e+06,1e+06,1e+06,1e+06,1e+06,1e+06,1e+06,1e+06,1e+06,1e+06,1e+06,1e+06,1e+06,1e+06,1e+06,1e+06,1e+06,
1e+06,1e+06,1e+06,1e+06,1e+06,1e+06,1e+06,1e+06,1e+06,1e+06,1e+06,1e+06,1e+06,1e+06,1e+06,1e+06,1e+06,1e+06,1e+06,1e+06,1e+06,1e+06,1e+06,1e+06,1e+06,1e+06,1e+06,1e+06,
1e+06,1e+06,1e+06,1e+06,1e+06,1e+06,1e+06,1e+06,1e+06,1e+06,1e+06,1e+06,1e+06,1e+06,1e+06,1e+06,1e+06,1e+06,1e+06,1e+06,1e+06,1e+06,1e+06,1e+06,1e+06,1e+06,1e+06,1e+06,
1e+06,1e+06,1e+06,1e+06,1e+06,1e+06,1e+06,1e+06,1e+06,1e+06,1e+06,1e+06,1e+06,1e+06,1e+06,1e+06,1e+06,1e+06,1e+06,1e+06,1e+06,1e+06,1e+06,1e+06,1e+06,1e+06,1e+06,1e+06,
1e+06,1e+06,1e+06,1e+06,1e+06,1e+06,1e+06,1e+06,1e+06,1e+06,1e+06,1e+06,1e+06,1e+06,1e+06,1e+06,1e+06,1e+06,1e+06,1e+06,1e+06,1e+06,1e+06,1e+06,1e+06,1e+06,1e+06,1e+06,
1e+06,1e+06,1e+06,1e+06,1e+06,1e+06,1e+06,1e+06,1e+06,1e+06,1e+06,1e+06,1e+06,1e+06,1e+06,1e+06,1e+06,1e+06,1e+06,1e+06,1e+06,1e+06,1e+06,1e+06,1e+06,1e+06,1e+06,1e+06,
1e+06,1e+06,1e+06,1e+06,1e+06,1e+06,1e+06,1e+06,1e+06,1e+06,1e+06,1e+06,1e+06,1e+06,1e+06,1e+06,1e+06,1e+06,1e+06,1e+06,1e+06,1e+06,1e+06,1e+06,1e+06,1e+06,1e+06,1e+06,
1e+06,1e+06,1e+06,1e+06,1e+06,1e+06,1e+06,1e+06,1e+06,1e+06,1e+06,1e+06,1e+06,1e+06,1e+06,1e+06,1e+06,1e+06,1e+06,1e+06,1e+06,1e+06,1e+06,1e+06,1e+06,1e+06,1e+06,1e+06,
1e+06,1e+06,1e+06,1e+06,1e+06,1e+06,1e+06,1e+06,1e+06,1e+06,1e+06,1e+06,1e+06,1e+06,1e+06,1e+06,1e+06,1e+06,1e+06,1e+06,1e+06,1e+06,1e+06,1e+06,1e+06,1e+06,1e+06,1e+06,
1e+06,1e+06,1e+06,1e+06,1e+06,1e+06,1e+06,1e+06,1e+06,1e+06,1e+06,1e+06,1e+06,1e+06,1e+06,1e+06,1e+06,1e+06,1e+06,1e+06,1e+06,1e+06,1e+06,1e+06,1e+06,1e+06,1e+06,1e+06,
1e+06,1e+06,1e+06,1e+06,1e+06,1e+06,1e+06,1e+06,1e+06,1e+06,1e+06,1e+06,1e+06,1e+06,1e+06,1e+06,1e+06,1e+06,1e+06,1e+06,1e+06,1e+06,1e+06,1e+06,1e+06,1e+06,1e+06,1e+06,
1e+06,1e+06,1e+06,1e+06,1e+06,1e+06,1e+06,1e+06,1e+06,1e+06,1e+06,1e+06,1e+06,1e+06,1e+06,1e+06,1e+06,1e+06,1e+06,1e+06,1e+06,1e+06,1e+06,1e+06,1e+06,1e+06,1e+06,1e+06,
